ALV-5000/E-WIN Data
Date :	"24-Feb-12"
Time :	"19:30:32"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	     488.00000
Angle [°]       :	      90.00000
Duration [s]    :	        10
Runs            :	         3
Mode            :	"DUAL AUTO CH0"
MeanCR0 [kHz]   :	    2652.99219
MeanCR1 [kHz]   :	       0.00000

"Correlation (Multi, Averaged)"
"Lag [ms]"	"Average(0)"	"Run  1"	"Run  2"	"Run  3"	"Average(1)"	" 1,   0.000"	" 2,   0.000"	" 3,   0.000"	
  4.09600E+000	  4.42036E-004	  3.33445E-004	  3.93171E-004	  5.99491E-004	  7.50100E-004	  6.71576E-004	  6.79595E-004	  8.99128E-004	
  4.50560E+000	  4.33796E-004	  3.21642E-004	  3.90910E-004	  5.88835E-004	  7.36535E-004	  6.61046E-004	  6.61869E-004	  8.86689E-004	
  4.91520E+000	  4.29167E-004	  3.26613E-004	  3.80928E-004	  5.79960E-004	  7.27697E-004	  6.44506E-004	  6.52358E-004	  8.86227E-004	
  5.32480E+000	  4.26821E-004	  3.21692E-004	  3.91711E-004	  5.67062E-004	  7.19162E-004	  6.57185E-004	  6.44715E-004	  8.55586E-004	
  5.73440E+000	  4.18889E-004	  3.18010E-004	  3.81560E-004	  5.57097E-004	  7.12860E-004	  6.45087E-004	  6.29529E-004	  8.63966E-004	
  6.14400E+000	  4.10248E-004	  3.12012E-004	  3.76036E-004	  5.42696E-004	  6.94645E-004	  6.39019E-004	  6.15856E-004	  8.29059E-004	
  6.45120E+000	  3.97598E-004	  3.11250E-004	  3.57533E-004	  5.24011E-004	  6.92228E-004	  6.46679E-004	  6.13105E-004	  8.16901E-004	
  7.27040E+000	  3.95810E-004	  3.11671E-004	  3.55161E-004	  5.20598E-004	  6.80545E-004	  6.36222E-004	  5.98135E-004	  8.07278E-004	
  8.08960E+000	  3.89833E-004	  3.03591E-004	  3.53356E-004	  5.12551E-004	  6.76356E-004	  6.30136E-004	  5.87133E-004	  8.11800E-004	
  8.90880E+000	  3.84760E-004	  3.04747E-004	  3.48036E-004	  5.01496E-004	  6.63517E-004	  6.16239E-004	  5.70897E-004	  8.03416E-004	
  9.72800E+000	  3.79957E-004	  2.93792E-004	  3.43709E-004	  5.02369E-004	  6.54301E-004	  6.19285E-004	  5.58271E-004	  7.85348E-004	
  1.05472E+001	  3.73609E-004	  2.92502E-004	  3.29809E-004	  4.98518E-004	  6.44803E-004	  6.05865E-004	  5.55954E-004	  7.72589E-004	
  1.13664E+001	  3.67643E-004	  2.85346E-004	  3.23724E-004	  4.93859E-004	  6.47859E-004	  5.90511E-004	  5.68090E-004	  7.84976E-004	
  1.21856E+001	  3.72755E-004	  2.88267E-004	  3.23186E-004	  5.06811E-004	  6.39004E-004	  5.83441E-004	  5.59230E-004	  7.74342E-004	
  1.30048E+001	  3.66377E-004	  2.82543E-004	  3.21442E-004	  4.95146E-004	  6.22321E-004	  5.66350E-004	  5.40188E-004	  7.60424E-004	
  1.46432E+001	  3.64990E-004	  2.86490E-004	  3.21354E-004	  4.87127E-004	  6.24260E-004	  5.68775E-004	  5.34315E-004	  7.69689E-004	
  1.62816E+001	  3.63554E-004	  2.80417E-004	  3.18505E-004	  4.91742E-004	  6.05648E-004	  5.56823E-004	  5.20872E-004	  7.39250E-004	
  1.79200E+001	  3.61324E-004	  2.75787E-004	  3.21586E-004	  4.86600E-004	  6.00159E-004	  5.58308E-004	  5.07251E-004	  7.34918E-004	
  1.95584E+001	  3.51337E-004	  2.65161E-004	  3.15342E-004	  4.73508E-004	  5.95232E-004	  5.55178E-004	  5.00929E-004	  7.29587E-004	
  2.11968E+001	  3.53076E-004	  2.64732E-004	  3.13817E-004	  4.80678E-004	  5.97518E-004	  5.54620E-004	  5.10181E-004	  7.27752E-004	
  2.28352E+001	  3.44671E-004	  2.58589E-004	  3.09361E-004	  4.66062E-004	  5.81893E-004	  5.42613E-004	  4.86102E-004	  7.16963E-004	
  2.44736E+001	  3.38111E-004	  2.49016E-004	  3.08175E-004	  4.57142E-004	  5.77257E-004	  5.29183E-004	  4.82061E-004	  7.20528E-004	
  2.61120E+001	  3.31688E-004	  2.46614E-004	  2.95544E-004	  4.52905E-004	  5.74432E-004	  5.19242E-004	  4.81323E-004	  7.22731E-004	
  2.93888E+001	  3.31418E-004	  2.39328E-004	  2.96060E-004	  4.58867E-004	  5.65766E-004	  4.97187E-004	  4.91516E-004	  7.08596E-004	
  3.26656E+001	  3.30482E-004	  2.46451E-004	  2.90932E-004	  4.54063E-004	  5.57434E-004	  4.81282E-004	  5.06091E-004	  6.84931E-004	
  3.59424E+001	  3.39428E-004	  2.57281E-004	  3.01041E-004	  4.59960E-004	  5.57479E-004	  5.00884E-004	  4.86812E-004	  6.84739E-004	
  3.92192E+001	  3.32276E-004	  2.46592E-004	  2.89348E-004	  4.60889E-004	  5.52096E-004	  4.95153E-004	  4.76144E-004	  6.84991E-004	
  4.24960E+001	  3.24904E-004	  2.39011E-004	  2.89697E-004	  4.46004E-004	  5.49030E-004	  4.95936E-004	  4.64458E-004	  6.86696E-004	
  4.57728E+001	  3.22628E-004	  2.46576E-004	  2.83263E-004	  4.38044E-004	  5.43942E-004	  4.85670E-004	  4.61717E-004	  6.84440E-004	
  4.90496E+001	  3.20203E-004	  2.30723E-004	  2.85325E-004	  4.44561E-004	  5.37159E-004	  4.78508E-004	  4.67356E-004	  6.65614E-004	
  5.23264E+001	  3.20190E-004	  2.29963E-004	  2.84763E-004	  4.45843E-004	  5.26588E-004	  4.68032E-004	  4.56158E-004	  6.55575E-004	
  5.88800E+001	  3.18833E-004	  2.32947E-004	  2.79253E-004	  4.44299E-004	  5.29184E-004	  4.57194E-004	  4.81995E-004	  6.48363E-004	
