ALV-5000/E-WIN Data
Date :	"06.12.2013"
Time :	"11:21:42"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	     488.00000
Angle [°]       :	       0.00000
Duration [s]    :	        20
Runs            :	         6
Mode            :	"SINGLE CROSS CH0"
MeanCR0 [kHz]   :	     120.53282
MeanCR1 [kHz]   :	     127.29026

"Correlation (Multi, Averaged)"
"Lag [ms]"	"Average"	" 1, 121.727"	" 2, 121.917"	" 3, 122.189"	" 4, 121.098"	" 5, 122.615"	" 6, 120.533"	
  2.35878E+002	  4.30021E-004	  1.05878E-003	  2.75017E-005	  1.51641E-003	  1.75756E-003	 -1.45485E-004	 -1.63464E-003	
  2.62093E+002	 -2.94674E-004	  6.30728E-004	  9.30979E-005	 -6.46002E-004	 -5.70930E-004	  2.51981E-004	 -1.52692E-003	
  2.88307E+002	  4.20169E-004	 -1.57512E-004	  1.47802E-003	 -2.11858E-004	  7.24584E-005	  8.32916E-005	  1.25662E-003	
  3.14522E+002	 -3.13334E-004	 -2.93432E-004	  3.70255E-004	  1.19746E-003	 -1.41408E-003	 -1.32457E-003	 -4.15630E-004	
  3.40736E+002	 -1.73282E-004	  1.05178E-003	 -9.61098E-004	  3.86234E-004	 -1.26554E-003	 -1.55890E-003	  1.30783E-003	
  3.66950E+002	  4.87381E-005	  8.04992E-004	 -4.76494E-004	  8.22892E-004	 -5.07647E-004	 -8.70446E-004	  5.19132E-004	
  3.93165E+002	  6.53411E-005	  1.08785E-003	 -1.01685E-003	  1.43446E-004	 -4.41368E-004	 -1.01895E-004	  7.20868E-004	
  4.19379E+002	  3.56114E-005	  6.12185E-004	 -7.15140E-004	 -4.14582E-005	 -5.10743E-004	  3.41017E-004	  5.27808E-004	
  4.71808E+002	  6.22078E-004	  9.88200E-004	  9.11768E-004	 -2.66730E-004	  3.45881E-004	  1.19068E-003	  5.62673E-004	
  5.24237E+002	 -1.81158E-004	  6.77777E-004	  7.55734E-004	 -9.48182E-005	 -1.35780E-003	  5.66794E-005	 -1.12452E-003	
