ALV-5000/E-WIN Data
Date :	"14.01.2011"
Time :	"15:23:50"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	     632.80000
Angle [°]       :	      90.00000
Duration [s]    :	        30
Runs            :	         6
Mode            :	"SINGLE AUTO CH0"
MeanCR0 [kHz]   :	     268.13739
MeanCR1 [kHz]   :	       0.00000

"Correlation (Multi, Averaged)"
"Lag [ms]"	"Average"	" 1, 266.992"	" 2, 266.543"	" 3, 266.916"	" 4, 266.046"	" 5, 267.830"	" 6, 268.137"	
  2.09664E+002	  3.42808E-006	 -1.77396E-004	  4.77428E-005	 -9.88965E-005	  5.36230E-005	  6.40545E-005	  1.31441E-004	
  2.35878E+002	  3.24336E-006	  8.86358E-005	  8.23423E-006	  7.10224E-005	 -4.31827E-005	 -1.07463E-004	  2.21358E-006	
  2.62093E+002	 -3.82413E-006	 -2.91026E-005	  1.20464E-004	 -2.66870E-005	  7.69231E-005	 -9.18371E-005	 -7.27056E-005	
  2.88307E+002	 -2.82080E-005	 -1.19689E-005	  9.84869E-006	  1.33665E-004	 -9.99864E-005	 -9.03655E-005	 -1.10441E-004	
  3.14522E+002	 -2.64882E-005	 -1.32926E-004	  6.33781E-005	  3.15394E-005	  2.19589E-005	 -3.60892E-005	 -1.06791E-004	
  3.40736E+002	  2.81821E-006	 -2.61623E-005	  7.87171E-005	  1.65482E-006	  1.48935E-004	 -9.31368E-005	 -9.30986E-005	
  3.66950E+002	  3.81591E-005	  3.10631E-005	  4.77451E-005	 -7.88114E-007	  9.49143E-005	  1.18318E-004	 -6.22977E-005	
  3.93165E+002	  6.44498E-005	 -4.35729E-005	  9.78337E-005	  1.28057E-005	  2.25573E-004	 -1.09773E-004	  2.03832E-004	
  4.19379E+002	  3.16711E-005	 -5.62055E-005	 -6.75104E-006	 -1.28250E-007	  2.92051E-005	  6.11379E-005	  1.62769E-004	
  4.71808E+002	  2.79611E-005	  2.48052E-005	  1.08432E-004	 -2.51203E-005	  5.34628E-005	  5.43806E-005	 -4.81938E-005	
