ALV-5000/E-WIN Data
Date :	"11.02.2013"
Time :	"15:01:50"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	       0.00000
Angle [°]       :	       0.00000
Duration [s]    :	        60
Runs            :	         5
Mode            :	"SINGLE AUTO CH0"
MeanCR0 [kHz]   :	     123.59176
MeanCR1 [kHz]   :	       0.00000

"Correlation (Multi, Averaged)"
"Lag [ms]"	"Average"	" 1, 125.471"	" 2, 124.904"	" 3, 123.333"	" 4, 122.813"	" 5, 123.592"	
  1.22368E+001	  1.13169E-004	  3.60215E-005	  7.94448E-005	  4.07957E-004	  8.13569E-005	 -3.89353E-005	
  1.30560E+001	  1.69963E-004	  7.28744E-005	  2.21372E-005	  3.16174E-004	  1.99966E-004	  2.38662E-004	
  1.46944E+001	  2.05357E-004	  1.41282E-005	  1.35100E-004	  4.79110E-004	  2.67426E-004	  1.31021E-004	
  1.63328E+001	  2.21568E-004	  2.80832E-004	  2.63975E-005	  2.38238E-004	  3.10756E-004	  2.51614E-004	
  1.79712E+001	  1.10462E-004	  3.10402E-004	 -1.72729E-004	  3.27995E-004	  9.71024E-005	 -1.04595E-005	
  1.96096E+001	  1.62107E-004	  1.95635E-004	  7.82478E-005	  5.53661E-004	  9.07870E-005	 -1.07795E-004	
  2.12480E+001	  6.85213E-005	  2.24557E-004	  1.40741E-004	  7.40203E-005	 -2.69576E-006	 -9.40162E-005	
  2.28864E+001	  4.93190E-005	 -7.56631E-006	  9.16761E-005	  1.31581E-004	  6.41311E-005	 -3.32272E-005	
  2.45248E+001	  1.53261E-004	  4.17181E-004	  1.12174E-004	  1.83802E-004	  2.57406E-004	 -2.04256E-004	
  2.61632E+001	  1.32677E-004	  3.26006E-004	  1.29743E-004	  2.80056E-004	  1.24557E-005	 -8.48767E-005	
  2.94400E+001	  5.98360E-005	  1.40044E-004	  3.61964E-005	  4.67666E-004	 -5.75601E-005	 -2.87166E-004	
  3.27168E+001	 -1.31745E-005	  7.89155E-005	 -9.84072E-005	  1.25657E-004	 -9.40827E-005	 -7.79550E-005	
  3.59936E+001	  2.45805E-005	 -7.77330E-005	  1.05326E-004	  6.51095E-005	 -2.18951E-005	  5.20951E-005	
  3.92704E+001	  7.73012E-005	  9.02134E-005	 -1.80817E-005	  1.37220E-004	  7.59058E-005	  1.01249E-004	
  4.25472E+001	  8.45878E-005	 -1.42148E-005	  4.72220E-005	  2.44972E-004	  2.32640E-005	  1.21696E-004	
  4.58240E+001	  1.08392E-004	  2.32835E-004	  1.59186E-004	  1.35390E-004	  5.56693E-005	 -4.11212E-005	
  4.91008E+001	  1.46776E-005	  2.44448E-004	  5.96261E-005	  1.29800E-004	 -2.58623E-005	 -3.34624E-004	
  5.23776E+001	 -1.27307E-005	  1.37686E-004	  1.17308E-005	 -5.37162E-005	 -5.67708E-005	 -1.02584E-004	
  5.89312E+001	  6.20878E-005	  2.49083E-004	 -9.14242E-006	  1.15550E-004	 -7.88828E-005	  3.38318E-005	
  6.54848E+001	  9.43012E-006	 -3.86053E-005	  1.64083E-004	  2.19784E-005	 -1.16724E-004	  1.64179E-005	
  7.20384E+001	  4.85375E-005	  6.57419E-005	  9.13672E-005	  1.15800E-004	 -1.24616E-005	 -1.77597E-005	
  7.85920E+001	  3.75281E-005	  9.66130E-006	  1.70443E-005	  5.82810E-005	 -3.64267E-005	  1.39080E-004	
  8.51456E+001	  3.29290E-005	  9.89940E-005	 -7.23750E-005	  8.82008E-005	 -7.41059E-006	  5.72356E-005	
  9.16992E+001	  2.00122E-005	  2.01544E-004	 -6.66316E-005	  9.68693E-005	 -1.21683E-004	 -1.00380E-005	
  9.82528E+001	  5.36210E-006	  1.20337E-004	 -8.40666E-005	 -2.33747E-005	 -6.38125E-005	  7.77278E-005	
  1.04806E+002	  4.87378E-005	  6.04199E-005	  8.32977E-005	  1.67913E-004	 -1.13673E-004	  4.57320E-005	
  1.17914E+002	  5.08404E-005	 -6.89270E-006	  9.02898E-005	  9.38135E-005	  1.74043E-005	  5.95868E-005	
  1.31021E+002	  4.83197E-005	  8.51376E-005	  2.27371E-005	  7.45188E-005	  2.56618E-005	  3.35431E-005	
  1.44128E+002	  1.80962E-006	  1.59875E-005	 -1.49832E-005	  1.55634E-005	  3.88504E-005	 -4.63700E-005	
  1.57235E+002	  5.91715E-005	  8.42014E-005	  2.69970E-005	  8.48115E-005	  2.78801E-005	  7.19673E-005	
  1.70342E+002	  4.74594E-005	  1.37748E-005	  7.38828E-005	 -9.99943E-006	  7.51031E-005	  8.45359E-005	
